"10";"hovořit";"10724";""
"11";"hrnout";"1236";""
"12";"chopit";"1326";""
"13";"inspirovat";"3629";""
"14";"jet";"26053";""
"15";"koukat";"5903";""
"16";"léčit";"3116";""
"17";"loučit";"1351";""
"18";"milovat";"16776";""
"19";"mísit";"1154";""
"20";"najíst";"1532";""
"21";"naplnit";"5143";""
"22";"naskytnout";"1104";""
"23";"nastěhovat";"1213";""
"24";"nudit";"1789";""
"25";"oblékat";"1891";""
"26";"odlišovat";"1739";""
"27";"odvrátit";"2768";""
"28";"osvědčit";"1414";""
"29";"otázat";"1115";""
"30";"pamatovat";"12979";""
"31";"platit";"28533";""
"32";"podávat";"6692";""
"33";"podělit";"1440";""
"34";"podepsat";"6441";""
"35";"podivit";"1283";""
"36";"potit";"1051";""
"37";"potvrdit";"11464";""
"38";"pousmát";"1047";""
"39";"pouštět";"3674";""
"40";"prát";"2028";""
"41";"probouzet";"1775";""
"42";"probrat";"3190";""
"43";"prodat";"8238";""
"44";"projít";"14487";""
"45";"promítat";"1778";""
"46";"provdat";"1207";""
"47";"přestat";"16867";""
"48";"přidávat";"3621";""
"49";"rovnat";"1469";""
"50";"rozdělit";"6756";""
"51";"rozkládat";"1667";""
"52";"rozpadat";"1114";""
"53";"rozplynout";"1020";""
"54";"rozsvítit";"2327";""
"55";"rozšiřovat";"2864";""
"56";"rozvést";"1454";""
"57";"rozzářit";"1296";""
"58";"rýsovat";"1243";""
"59";"řadit";"2954";""
"60";"říci";"180576";""
"61";"schovávat";"2357";""
"62";"sklánět";"1265";""
"63";"specializovat";"1135";""
"64";"spoléhat";"2832";""
"65";"spustit";"7053";""
"66";"střetnout";"1123";""
"67";"stýkat";"1233";""
"68";"stýskat";"1378";""
"69";"svézt";"1345";""
"70";"tvořit";"21495";""
"71";"tyčit";"1038";""
"72";"ubránit";"1447";""
"73";"ucházet";"1099";""
"74";"uchýlit";"973";""
"75";"ukrývat";"1822";""
"76";"uplatnit";"3065";""
"77";"utkat";"1407";""
"78";"uvádět";"10952";""
"79";"užívat";"8893";""
"80";"vdát";"1127";""
"81";"vsadit";"3273";""
"82";"vybavit";"7129";""
"83";"vyskytnout";"1155";""
"84";"vyspat";"1536";""
"85";"vyšplhat";"1722";""
"86";"vytvářet";"12299";""
"87";"vzdálit";"1822";""
"88";"vzdalovat";"1290";""
"89";"vzdávat";"1703";""
"90";"začínat";"24735";""
"91";"zachvět";"1313";""
"92";"zamlouvat";"1060";""
"93";"zapsat";"4211";""
"94";"zařadit";"5549";""
"95";"zatvářit";"1343";""
"96";"zavřít";"11604";""
"97";"zdržovat";"1813";""
"98";"zlepšovat";"2277";""
"99";"zranit";"2952";""
"100";"zřítit";"1182";""
"1";"angažovat";"1371";""
"2";"děsit";"2415";""
"3";"dozvídat";"818";""
"4";"dožadovat";"842";""
"5";"drát";"3810";""
"6";"hemžit";"828";""
"7";"houpat";"1090";""
"8";"chodit";"30082";""
"9";"jezdit";"14242";""
"10";"koupat";"1193";""
"11";"krčit";"1436";""
"12";"leknout";"971";""
"13";"lepit";"1277";""
"14";"motat";"897";""
"15";"mračit";"747";""
"16";"nabídnout";"13898";""
"17";"naklánět";"1002";""
"18";"napřímit";"893";""
"19";"narovnat";"1558";""
"20";"obléknout";"2475";""
"21";"obtěžovat";"2163";""
"22";"ocitat";"880";""
"23";"octnout";"832";""
"24";"odebrat";"2294";""
"25";"odhadovat";"3400";""
"26";"odhodlat";"1172";""
"27";"odvažovat";"893";""
"28";"odvolat";"3090";""
"29";"ohlížet";"959";""
"30";"ohradit";"899";""
"31";"omezit";"5574";""
"32";"omezovat";"3273";""
"33";"otřást";"1996";""
"34";"ovládat";"5895";""
"35";"pěstovat";"3090";""
"36";"plazit";"906";""
"37";"pohádat";"790";""
"38";"potkávat";"1867";""
"39";"poučit";"1819";""
"40";"prezentovat";"3294";""
"41";"probírat";"2431";""
"42";"prodírat";"832";""
"43";"prokázat";"5747";""
"44";"proměňovat";"1307";""
"45";"prosazovat";"2852";""
"46";"proslavit";"1508";""
"47";"přenášet";"2721";""
"48";"přenést";"3433";""
"49";"přesouvat";"1178";""
"50";"přijít";"79115";""
"51";"pyšnit";"957";""
"52";"realizovat";"5286";""
"53";"rozčilovat";"1379";""
"54";"rozhostit";"827";""
"55";"rozplývat";"840";""
"56";"rozumět";"14752";""
"57";"rozvinout";"1700";""
"58";"shromáždit";"1937";""
"59";"snášet";"5804";""
"60";"snést";"3116";""
"61";"soustřeďovat";"971";""
"62";"splnit";"6732";""
"63";"spojovat";"5903";""
"64";"srazit";"3085";""
"65";"stahovat";"2065";""
"66";"svěřovat";"1179";""
"67";"tajit";"2138";""
"68";"tlačit";"4090";""
"69";"třpytit";"773";""
"70";"ubírat";"1359";""
"71";"udát";"881";""
"72";"udržovat";"6132";""
"73";"uklonit";"872";""
"74";"umístit";"7591";""
"75";"utopit";"1276";""
"76";"uzavřít";"8342";""
"77";"vařit";"5414";""
"78";"vázat";"2927";""
"79";"vídat";"2171";""
"80";"vložit";"5733";""
"81";"vrhat";"2209";""
"82";"vykašlat";"862";""
"83";"vymykat";"748";""
"84";"vyrovnávat";"1285";""
"85";"vyvarovat";"933";""
"86";"vzbudit";"4312";""
"87";"zabít";"11571";""
"88";"zalíbit";"841";""
"89";"zapomenout";"18488";""
"90";"zasloužit";"6008";""
"91";"zastavovat";"1790";""
"92";"zavázat";"1535";""
"93";"zhoršit";"1428";""
"94";"zhoršovat";"1371";""
"95";"zjevit";"1046";""
"96";"zjistit";"26639";""
"97";"zlomit";"3138";""
"98";"zmoci";"1377";""
"99";"zvětšovat";"1253";""
"100";"žít";"40762";""
"1";"diskutovat";"2858";""
"2";"domáhat";"634";""
"3";"dopouštět";"751";""
"4";"doslechnout";"625";""
"5";"hromadit";"850";""
"6";"hroutit";"681";""
"7";"klást";"7848";""
"8";"kouknout";"1494";""
"9";"kroutit";"2113";""
"10";"líbat";"2335";""
"11";"linout";"612";""
"12";"měřit";"5066";""
"13";"mihnout";"678";""
"14";"množit";"803";""
"15";"myslet";"82118";""
"16";"nalézat";"1721";""
"17";"namáhat";"890";""
"18";"nechávat";"6550";""
"19";"nosit";"10919";""
"20";"odtáhnout";"2140";""
"21";"odvolávat";"815";""
"22";"opít";"749";""
"23";"otvírat";"2245";""
"24";"ovládnout";"3702";""
"25";"plnit";"5900";""
"26";"podrobit";"1588";""
"27";"pohupovat";"831";""
"28";"pokládat";"4773";""
"29";"poprat";"734";""
"30";"poradit";"6766";""
"31";"pořádat";"5043";""
"32";"potácet";"590";""
"33";"potřebovat";"41657";""
"34";"použít";"18533";""
"35";"povalovat";"645";""
"36";"povídat";"10937";""
"37";"prohánět";"945";""
"38";"prolínat";"753";""
"39";"promítnout";"1191";""
"40";"propadat";"1396";""
"41";"předklonit";"687";""
"42";"převléknout";"808";""
"43";"připojovat";"929";""
"44";"přistihnout";"1623";""
"45";"přít";"676";""
"46";"přitisknout";"2778";""
"47";"přizpůsobovat";"1076";""
"48";"rozbrečet";"721";""
"49";"rozcházet";"663";""
"50";"rozléhat";"583";""
"51";"rozprostírat";"629";""
"52";"rozrůst";"642";""
"53";"roztřást";"698";""
"54";"sebrat";"4714";""
"55";"sehnout";"730";""
"56";"sevřít";"3235";""
"57";"slušet";"2519";""
"58";"soudit";"4568";""
"59";"spekulovat";"1393";""
"60";"splést";"1458";""
"61";"stačit";"31108";""
"62";"stihnout";"6165";""
"63";"stočit";"1122";""
"64";"svléknout";"1628";""
"65";"tisknout";"2859";""
"66";"topit";"1259";""
"67";"toulat";"725";""
"68";"ubytovat";"1194";""
"69";"ukládat";"3041";""
"70";"umět";"25984";""
"71";"uvažovat";"10398";""
"72";"uvolňovat";"1604";""
"73";"uzavírat";"2613";""
"74";"uzdravit";"994";""
"75";"vléci";"1225";""
"76";"vlnit";"659";""
"77";"vloupat";"604";""
"78";"vymanit";"790";""
"79";"vynořovat";"687";""
"80";"vyplácet";"1322";""
"81";"vyřešit";"6511";""
"82";"vysmívat";"699";""
"83";"vytrácet";"694";""
"84";"vzepřít";"653";""
"85";"zachránit";"8534";""
"86";"zachtít";"658";""
"87";"zachytit";"5586";""
"88";"zakládat";"2424";""
"89";"zakousnout";"684";""
"90";"zamýšlet";"1421";""
"91";"zaplést";"825";""
"92";"zapojovat";"928";""
"93";"zašklebit";"710";""
"94";"zbavovat";"1201";""
"95";"zdráhat";"616";""
"96";"zmenšit";"1227";""
"97";"zmenšovat";"1084";""
"98";"zobrazit";"2524";""
"99";"zvětšit";"1327";""
"1";"bojovat";"10543";""
"2";"brodit";"500";""
"3";"cpát";"1035";""
"4";"číst";"18775";""
"5";"dodávat";"11486";""
"6";"donést";"2207";""
"7";"doplňovat";"4182";""
"8";"dusit";"1633";""
"9";"hájit";"2106";""
"10";"hodnotit";"5968";""
"11";"hrabat";"958";""
"12";"chránit";"7916";""
"13";"chytat";"2296";""
"14";"chytnout";"2104";""
"15";"kochat";"506";""
"16";"lámat";"2089";""
"17";"míhat";"515";""
"18";"nakazit";"912";""
"19";"natáčet";"2213";""
"20";"natahovat";"1332";""
"21";"nořit";"607";""
"22";"oddělit";"2632";""
"23";"odtrhnout";"1483";""
"24";"ohlásit";"2213";""
"25";"otřásat";"725";""
"26";"plánovat";"6911";""
"27";"plížit";"534";""
"28";"pobavit";"1619";""
"29";"podít";"517";""
"30";"pojit";"944";""
"31";"položit";"14070";""
"32";"pomstít";"845";""
"33";"posmívat";"575";""
"34";"posouvat";"1336";""
"35";"potulovat";"506";""
"36";"probojovat";"507";""
"37";"prodlužovat";"1161";""
"38";"prodrat";"501";""
"39";"proplétat";"597";""
"40";"provést";"12850";""
"41";"předvést";"4885";""
"42";"překrývat";"772";""
"43";"přiklánět";"492";""
"44";"přiklonit";"499";""
"45";"přistěhovat";"468";""
"46";"radit";"3831";""
"47";"rozbít";"2503";""
"48";"rozbušit";"510";""
"49";"rozjíždět";"708";""
"50";"rozletět";"541";""
"51";"rozlévat";"576";""
"52";"rozlít";"670";""
"53";"rozpustit";"1533";""
"54";"rozrůstat";"491";""
"55";"rvát";"1121";""
"56";"sblížit";"622";""
"57";"setmít";"477";""
"58";"seznamovat";"914";""
"59";"schoulit";"488";""
"60";"sjet";"1948";""
"61";"slavit";"4548";""
"62";"slyšet";"34792";""
"63";"spřátelit";"575";""
"64";"strhnout";"2853";""
"65";"sunout";"640";""
"66";"svalit";"662";""
"67";"svíjet";"514";""
"68";"šetřit";"4258";""
"69";"tázat";"616";""
"70";"těžit";"2105";""
"71";"tvrdit";"20445";""
"72";"uchylovat";"506";""
"73";"usazovat";"632";""
"74";"utrhnout";"1125";""
"75";"uvelebit";"542";""
"76";"vdávat";"554";""
"77";"věřit";"29040";""
"78";"vinout";"503";""
"79";"vydařit";"502";""
"80";"vyděsit";"2003";""
"81";"vyklubat";"522";""
"82";"vymknout";"525";""
"83";"vymlouvat";"584";""
"84";"vypařit";"559";""
"85";"vyslovit";"4282";""
"86";"vystřídat";"2944";""
"87";"vznést";"1095";""
"88";"vžít";"516";""
"89";"zabydlet";"556";""
"90";"zaseknout";"588";""
"91";"zatočit";"1054";""
"92";"zavírat";"2234";""
"93";"zazubit";"497";""
"94";"zdařit";"474";""
"95";"zklidnit";"967";""
"96";"zmítat";"840";""
"97";"zmocňovat";"612";""
"98";"zobrazovat";"1896";""
"99";"zpívat";"7994";""
"100";"zračit";"548";""
"1";"bít";"2331";""
"2";"blýsknout";"569";""
"3";"bouřit";"516";""
"4";"budovat";"3075";""
"5";"činit";"9613";""
"6";"distancovat";"404";""
"7";"domlouvat";"862";""
"8";"dovídat";"380";""
"9";"formovat";"1132";""
"10";"hodlat";"6806";""
"11";"chechtat";"436";""
"12";"choulit";"419";""
"13";"chýlit";"374";""
"14";"jíst";"9425";""
"15";"klepat";"1310";""
"16";"kousnout";"1090";""
"17";"krýt";"1679";""
"18";"míchat";"1438";""
"19";"naštvat";"1166";""
"20";"obejmout";"4219";""
"21";"objímat";"1659";""
"22";"obořit";"400";""
"23";"oddávat";"480";""
"24";"odpoutat";"611";""
"25";"ohánět";"447";""
"26";"ochladit";"654";""
"27";"osprchovat";"482";""
"28";"pást";"716";""
"29";"pít";"8734";""
"30";"plavit";"425";""
"31";"poddat";"438";""
"32";"podivovat";"387";""
"33";"podřídit";"1164";""
"34";"pomodlit";"422";""
"35";"potápět";"469";""
"36";"potopit";"747";""
"37";"prodloužit";"2398";""
"38";"projet";"3690";""
"39";"provinit";"396";""
"40";"přátelit";"432";""
"41";"představovat";"25808";""
"42";"předvádět";"2718";""
"43";"přehnat";"997";""
"44";"přeměnit";"1068";""
"45";"převrátit";"875";""
"46";"přezdívat";"793";""
"47";"přikrčit";"418";""
"48";"přinutit";"2436";""
"49";"rozčílit";"816";""
"50";"rozeznít";"603";""
"51";"rozhořet";"453";""
"52";"rozpouštět";"709";""
"53";"řinout";"411";""
"54";"seběhnout";"880";""
"55";"sesypat";"407";""
"56";"shromažďovat";"1076";""
"57";"schylovat";"401";""
"58";"srovnat";"4138";""
"59";"stáčet";"586";""
"60";"stmívat";"482";""
"61";"strachovat";"439";""
"62";"sypat";"1019";""
"63";"šklebit";"431";""
"64";"tísnit";"481";""
"65";"tradovat";"441";""
"66";"uchechtnout";"380";""
"67";"uchytit";"564";""
"68";"ukrýt";"1672";""
"69";"uložit";"7116";""
"70";"umýt";"1735";""
"71";"urazit";"2140";""
"72";"uskutečňovat";"862";""
"73";"ustálit";"476";""
"74";"uživit";"907";""
"75";"volit";"6092";""
"76";"vybavovat";"1767";""
"77";"vyhoupnout";"429";""
"78";"vyjímat";"874";""
"79";"vykoupat";"593";""
"80";"vyplnit";"2583";""
"81";"vypracovat";"2464";""
"82";"vyprávět";"14005";""
"83";"vysmát";"468";""
"84";"vystavovat";"2072";""
"85";"vysvětlovat";"14236";""
"86";"vzdělávat";"779";""
"87";"vzchopit";"416";""
"88";"vzpírat";"461";""
"89";"vztekat";"416";""
"90";"zahřát";"1228";""
"91";"zalesknout";"384";""
"92";"zaobírat";"429";""
"93";"zapomínat";"3615";""
"94";"zastat";"661";""
"95";"zastavět";"768";""
"96";"zdvojnásobit";"736";""
"97";"zjevovat";"468";""
"98";"zorientovat";"501";""
"99";"ztotožnit";"591";""
"100";"ženit";"477";""
"1";"aplikovat";"2423";""
