"order","lemma","transitive_frequency","transitive_ipm"
418,"fungovat",1497,14.8455103011776
419,"odehrát",1496,14.8355934606291
420,"vyhledat",1487,14.7463418956921
421,"probudit",1486,14.7364250551436
422,"prosadit",1485,14.726508214595
423,"zažívat",1475,14.6273398091095
424,"jmenovat",1473,14.6075061280124
425,"trápit",1472,14.5975892874639
426,"vypít",1466,14.5380882441726
427,"dosahovat",1466,14.5380882441726
428,"lákat",1464,14.5182545630755
429,"házet",1459,14.4686703603328
430,"odvézt",1455,14.4290029981386
431,"potěšit",1454,14.41908615759
432,"vzbuzovat",1454,14.41908615759
433,"doporučovat",1454,14.41908615759
434,"zařídit",1445,14.3298345926531
435,"překvapit",1444,14.3199177521045
436,"připojit",1442,14.3000840710074
437,"chybit",1442,14.3000840710074
438,"srovnat",1438,14.2604167088132
439,"lámat",1435,14.2306661871676
440,"pociťovat",1430,14.1810819844248
441,"vyslat",1425,14.1314977816821
442,"uvědomovat",1423,14.111664100585
443,"uvědomit",1415,14.0323293761966
444,"potlačit",1414,14.0224125356481
445,"omezovat",1411,13.9926620140024
446,"zpracovat",1409,13.9728283329053
447,"umět",1409,13.9728283329053
448,"přiložit",1408,13.9629114923568
449,"ohrožovat",1404,13.9232441301626
450,"rozbít",1401,13.8934936085169
451,"zadržet",1400,13.8835767679684
452,"jevit",1400,13.8835767679684
453,"vařit",1389,13.7744915219343
454,"skládat",1388,13.7645746813858
455,"kritizovat",1383,13.7149904786431
456,"vypracovat",1382,13.7050736380945
457,"vystřídat",1376,13.6455725948032
458,"vynést",1375,13.6356557542547
459,"bývat",1375,13.6356557542547
460,"sklopit",1374,13.6257389137061
461,"volat",1372,13.605905232609
462,"strhnout",1369,13.5761547109634
463,"upravovat",1369,13.5761547109634
464,"přitahovat",1367,13.5563210298663
465,"obejít",1366,13.5464041893177
466,"přiblížit",1365,13.5364873487692
467,"vyplnit",1363,13.5166536676721
468,"odvrátit",1361,13.496819986575
469,"bavit",1360,13.4869031460264
470,"poškodit",1360,13.4869031460264
471,"otřít",1358,13.4670694649293
472,"navrhovat",1354,13.4274021027351
473,"přidávat",1347,13.3579842188953
474,"uchopit",1347,13.3579842188953
475,"reprezentovat",1336,13.2488989728613
476,"nenávidět",1332,13.2092316106671
477,"postihnout",1332,13.2092316106671
