"","lemma","reflexivity","total_ipm"
"118","trápit",0.279937521693856,57.1408352407384
"119","trefit",0.428979708488139,34.6990250793724
"120","ujistit",0.365217391304348,37.6344098817429
"121","ukládat",0.220979940808944,30.157112108137
"122","uklidnit",0.50891181988743,42.2854080990123
"123","ulevit",0.606767794632439,25.4961970503191
"124","uplatnit",0.418597063621533,30.3951162813022
"125","uplatňovat",0.558072635742539,27.5787335655143
"126","uskutečnit",0.689307228915663,65.8478212423643
"127","uvolnit",0.397324025596277,51.1411467088664
"128","uzavírat",0.213164944508228,25.9127043533581
"129","vázat",0.308507003758114,29.0265922856025
"130","vejít",0.33219989696033,96.2429375236665
"131","vídat",0.350990327038231,21.5294608308995
"132","vrhat",0.409234947940244,21.9063007717444
"133","vrhnout",0.680245440599966,58.1821034983361
