"order","lemma","total_frequency","total_ipm"
349,"soustředit",7061,70.0228111133034
350,"toužit",7053,69.943476388915
351,"spustit",7053,69.943476388915
352,"zaujmout",6989,69.3087985938079
353,"nazývat",6973,69.1501291450311
354,"pořídit",6972,69.1402123044825
355,"stanovit",6966,69.0807112611913
356,"projevit",6939,68.8129565663804
357,"upozornit",6923,68.6542871176037
358,"plánovat",6911,68.5352850310211
359,"zmínit",6897,68.3964492633414
360,"vyvolat",6835,67.7816051493314
361,"hodlat",6806,67.4940167734234
362,"blížit",6804,67.4741830923263
363,"spadnout",6794,67.3750146868409
364,"zahájit",6785,67.2857631219039
365,"křičet",6775,67.1865947164184
366,"poradit",6766,67.0973431514815
367,"zvyšovat",6756,66.998174745996
368,"rozdělit",6756,66.998174745996
369,"splnit",6732,66.7601705728308
370,"proměnit",6722,66.6610021673453
371,"padat",6711,66.5519169213113
372,"učinit",6695,66.3932474725345
373,"podávat",6692,66.3634969508889
374,"prozradit",6690,66.3436632697918
375,"probudit",6689,66.3337464292432
376,"dočkat",6683,66.2742453859519
377,"zavést",6666,66.1056590966266
378,"doporučovat",6650,65.9469896478498
379,"uskutečnit",6640,65.8478212423643
380,"vydávat",6626,65.7089854746847
381,"rozhodovat",6598,65.4313139393253
382,"dokončit",6582,65.2726444905485
383,"povést",6568,65.1338087228688
384,"zaznamenat",6554,64.9949729551891
385,"nechávat",6550,64.9553055929949
386,"vyřešit",6511,64.5685488116015
387,"zasáhnout",6483,64.2908772762422
388,"usmívat",6469,64.1520415085625
389,"připojit",6453,63.9933720597857
390,"podepsat",6441,63.8743699732031
391,"nutit",6399,63.4578626701641
392,"ocitnout",6374,63.2099416564503
393,"označovat",6372,63.1901079753532
394,"stavět",6364,63.1107732509648
395,"odhalit",6348,62.9521038021881
396,"zbýt",6336,62.8331017156055
397,"vyhnout",6318,62.6545985857316
398,"převzít",6294,62.4165944125664
399,"vyzkoušet",6284,62.3174260070809
400,"zajít",6280,62.2777586448867
401,"seznámit",6266,62.1389228772071
402,"zaměřit",6239,61.8711681823962
403,"vzdát",6200,61.4844114010028
404,"přiblížit",6177,61.2563240683862
405,"projevovat",6176,61.2464072278377
406,"povědět",6167,61.1571556629007
407,"stihnout",6165,61.1373219818036
408,"podpořit",6161,61.0976546196094
409,"zamířit",6136,60.8497336058957
410,"udržovat",6132,60.8100662437015
411,"zasmát",6126,60.7505652004102
412,"vystupovat",6126,60.7505652004102
413,"zabránit",6111,60.601812592182
414,"skrývat",6097,60.4629768245023
415,"volit",6092,60.4133926217596
416,"pozvat",6087,60.3638084190168
417,"dosahovat",6079,60.2844736946284
418,"zkoušet",6059,60.0861368836575
419,"zasloužit",6008,59.5803780156815
420,"vyrobit",6003,59.5307938129387
421,"ovlivňovat",6003,59.5307938129387
422,"natáhnout",5978,59.282872799225
423,"bolet",5969,59.1936212342881
424,"hodnotit",5968,59.1837043937395
425,"postarat",5953,59.0349517855113
426,"chybit",5946,58.9655339016714
427,"spojovat",5903,58.5391097580838
428,"koukat",5903,58.5391097580838
429,"plnit",5900,58.5093592364382
430,"zničit",5895,58.4597750336954
431,"ovládat",5895,58.4597750336954
432,"mířit",5886,58.3705234687585
433,"spolupracovat",5885,58.36060662821
434,"odstranit",5885,58.36060662821
435,"přistoupit",5873,58.2416045416274
436,"vrhnout",5867,58.1821034983361
437,"mlčet",5834,57.854847760234
438,"přispět",5830,57.8151803980398
439,"vymyslet",5824,57.7556793547485
440,"stoupat",5809,57.6069267465202
441,"vyplývat",5805,57.567259384326
442,"snášet",5804,57.5573425437775
443,"hlásit",5802,57.5375088626804
444,"trávit",5781,57.3292552111609
445,"zahrát",5773,57.2499204867725
446,"trápit",5762,57.1408352407384
447,"prokázat",5747,56.9920826325102
448,"vložit",5733,56.8532468648305
449,"prohlédnout",5681,56.337571156306
450,"zahrnovat",5671,56.2384027508205
451,"ukončit",5664,56.1689848669807
452,"odehrát",5652,56.0499827803981
453,"slíbit",5651,56.0400659398495
454,"sáhnout",5649,56.0202322587524
455,"konstatovat",5642,55.9508143749126
456,"předat",5603,55.5640575935192
457,"zahlédnout",5596,55.4946397096793
458,"zachytit",5586,55.3954713041938
459,"omezit",5574,55.2764692176113
460,"prohlížet",5556,55.0979660877374
461,"zařadit",5549,55.0285482038975
462,"umřít",5545,54.9888808417033
463,"zavrtět",5528,54.820294552378
464,"vážit",5512,54.6616251036012
465,"zúčastnit",5480,54.3442862060477
466,"zrušit",5480,54.3442862060477
467,"vyjadřovat",5474,54.2847851627564
468,"přijímat",5427,53.8186936569746
469,"překonat",5423,53.7790262947804
470,"vařit",5414,53.6897747298434
471,"slibovat",5400,53.5509389621638
472,"posílat",5385,53.4021863539355
473,"vládnout",5356,53.1145979780276
474,"zajišťovat",5350,53.0550969347363
475,"pravit",5311,52.6683401533429
476,"klesnout",5307,52.6286727911487
477,"realizovat",5286,52.4204191396292
478,"točit",5237,51.9344939527503
479,"užít",5236,51.9245771122018
480,"obávat",5221,51.7758245039735
481,"vyměnit",5211,51.676656098488
482,"prohrát",5195,51.5179866497112
483,"zírat",5160,51.170897230512
484,"uvolnit",5157,51.1411467088664
485,"zkoumat",5151,51.0816456655751
486,"naplnit",5143,51.0023109411867
487,"ušetřit",5132,50.8932256951527
488,"porazit",5113,50.7048057247302
489,"postupovat",5096,50.5362194354049
490,"obejít",5096,50.5362194354049
491,"odvézt",5077,50.3477994649825
492,"vyrovnat",5072,50.2982152622397
493,"ocenit",5069,50.2684647405941
494,"měřit",5066,50.2387142189484
495,"sehnat",5064,50.2188805378513
496,"dospět",5059,50.1692963351086
497,"pořádat",5043,50.0106268863318
498,"upravit",5041,49.9907932052347
499,"divit",5034,49.9213753213949
500,"letět",5027,49.851957437555
501,"získávat",5001,49.5941195832928
502,"svěřit",5000,49.5842027427442
503,"zapojit",4994,49.5247016994529
504,"opřít",4990,49.4850343372587
505,"pronést",4989,49.4751174967102
506,"odnést",4986,49.4453669750645
507,"plakat",4950,49.0883607153168
508,"varovat",4920,48.7908554988603
509,"předvést",4885,48.4437660796611
510,"klesat",4868,48.2751797903358
511,"snižovat",4868,48.2751797903358
512,"přerušit",4826,47.8586724872967
513,"odložit",4824,47.8388388061996
514,"stěžovat",4818,47.7793377629083
515,"skládat",4816,47.7595040818112
516,"vyplatit",4792,47.5214999086461
517,"nasadit",4782,47.4223315031606
518,"pokládat",4773,47.3330799382236
519,"dýchat",4773,47.3330799382236
520,"uniknout",4740,47.0058242001215
521,"prosadit",4730,46.906655794636
522,"upozorňovat",4728,46.8868221135389
523,"sebrat",4714,46.7479863458593
524,"jevit",4706,46.6686516214709
525,"oslovit",4697,46.5794000565339
526,"potěšit",4696,46.5694832159854
527,"požadovat",4690,46.5099821726941
528,"vyvolávat",4687,46.4802316510484
529,"vyrůst",4681,46.4207306077571
530,"usnout",4673,46.3413958833688
531,"kupovat",4673,46.3413958833688
532,"dohodnout",4641,46.0240569858152
533,"nastavit",4635,45.9645559425239
534,"zlepšit",4614,45.7563022910044
535,"vyloučit",4607,45.6868844071645
536,"vykřiknout",4604,45.6571338855189
537,"vypadnout",4603,45.6472170449703
538,"pochybovat",4599,45.6075496827761
539,"vybudovat",4582,45.4389633934508
540,"soudit",4568,45.3001276257711
541,"prožívat",4567,45.2902107852226
542,"zaslechnout",4559,45.2108760608342
543,"pohnout",4555,45.17120869864
544,"slavit",4548,45.1017908148001
545,"zvedat",4542,45.0422897715089
546,"kontrolovat",4528,44.9034540038292
547,"usadit",4517,44.7943687577951
548,"svědčit",4502,44.6456161495669
549,"schválit",4490,44.5266140629843
550,"investovat",4481,44.4373624980474
551,"záviset",4469,44.3183604114648
552,"složit",4459,44.2191920059793
553,"vyvíjet",4459,44.2191920059793
554,"prožít",4445,44.0803562382996
555,"přivézt",4427,43.9018531084257
556,"zašeptat",4426,43.8919362678772
557,"přihlásit",4415,43.7828510218432
558,"uspět",4407,43.7035162974548
559,"připustit",4401,43.6440152541635
560,"otevírat",4385,43.4853458053867
561,"vyvinout",4379,43.4258447620954
562,"políbit",4378,43.4159279215468
563,"směřovat",4365,43.2870089944157
564,"dělit",4357,43.2076742700273
565,"podobat",4353,43.1680069078331
566,"litovat",4352,43.1580900672846
567,"natočit",4349,43.1283395456389
568,"tvářit",4338,43.0192542996049
569,"stavit",4317,42.8110006480854
570,"svítit",4315,42.7911669669883
571,"vzbudit",4312,42.7614164453426
572,"zarazit",4309,42.731665923697
573,"rozvíjet",4301,42.6523311993086
574,"prominout",4296,42.6027469965658
575,"scházet",4291,42.5531627938231
576,"vyslovit",4282,42.4639112288862
577,"pokrčit",4270,42.3449091423036
578,"uklidnit",4264,42.2854080990123
579,"setkávat",4264,42.2854080990123
580,"účastnit",4263,42.2754912584637
581,"šetřit",4258,42.225907055721
582,"vyhodit",4244,42.0870712880413
583,"potvrzovat",4236,42.0077365636529
584,"vydělat",4222,41.8689007959732
585,"obejmout",4219,41.8391502743276
586,"uslyšet",4213,41.7796492310363
587,"zapsat",4211,41.7598155499392
588,"zvítězit",4203,41.6804808255508
589,"odrážet",4192,41.5713955795168
590,"vykládat",4188,41.5317282173226
591,"skočit",4185,41.5019776956769
592,"odvést",4183,41.4821440145798
593,"doplňovat",4182,41.4722271740313
594,"posunout",4177,41.4226429712885
595,"uznat",4166,41.3135577252545
596,"definovat",4153,41.1846387981234
597,"naznačovat",4148,41.1350545953806
598,"srovnat",4138,41.0358861898951
599,"lákat",4136,41.016052508798
600,"sbírat",4130,40.9565514655067
601,"kráčet",4130,40.9565514655067
602,"naklonit",4129,40.9466346249582
603,"zakázat",4127,40.9268009438611
604,"vyhlásit",4124,40.8970504222154
