order,lemma,frequency,ipm
"451","motat","811"
"452","naklánět","809"
"453","octnout","809"
"454","hemžit","807"
"455","rozplývat","805"
"456","potkávat","801"
"457","omezit","798"
"458","zmoci","797"
"459","zalíbit","793"
"460","zhoršovat","790"
"461","zasloužit","787"
"462","odvolat","784"
"463","přesouvat","782"
"464","zjistit","781"
"465","vykašlat","780"
"466","srazit","777"
"467","vařit","777"
"468","prodírat","775"
"469","snášet","774"
"470","zvětšovat","774"
"471","zavázat","772"
"472","proměňovat","772"
"473","napřímit","772"
"474","splnit","771"
"475","probírat","770"
"476","stahovat","768"
"477","zabít","767"
"478","pohádat","765"
"479","vídat","762"
"480","snést","759"
"481","realizovat","751"
"482","třpytit","751"
"483","odvažovat","750"
"484","zastavovat","746"
"485","spojovat","745"
"486","přenášet","745"
"487","zlomit","745"
"488","nabídnout","744"
"489","lepit","743"
"490","rozčilovat","730"
"491","rozvinout","730"
"492","vymykat","729"
"493","děsit","725"
"494","obtěžovat","722"
"495","prokázat","719"
"496","zapomenout","719"
"497","krčit","715"
"498","mračit","714"
"499","udržovat","711"
"500","jezdit","708"
"501","dopouštět","705"
"502","zmenšovat","700"
"503","zobrazit","700"
"504","zašklebit","699"
"505","vyřešit","696"
"506","tisknout","694"
"507","přitisknout","694"
"508","nechávat","694"
"509","odtáhnout","692"
"510","promítnout","691"
"511","topit","690"
"512","toulat","688"
"513","poradit","688"
"514","otvírat","687"
"515","poprat","687"
"516","splést","685"
"517","myslet","685"
"518","sehnout","681"
"519","uzdravit","679"
"520","prohánět","678"
"521","zachytit","677"
"522","zbavovat","673"
"523","ukládat","672"
"524","mihnout","662"
"525","pohupovat","661"
"526","zmenšit","658"
"527","sebrat","657"
"528","vysmívat","656"
"529","vynořovat","651"
"530","množit","651"
"531","uvolňovat","651"
"532","předklonit","650"
"533","zachtít","650"
"534","vytrácet","650"
"535","uvažovat","649"
"536","hromadit","644"
"537","nosit","643"
"538","rozbrečet","643"
"539","zamyslit","642"
"540","kouknout","640"
"541","kroutit","638"
"542","měřit","637"
"543","odvolávat","631"
"544","vléci","631"
"545","propadat","630"
"546","umět","628"
"547","hroutit","627"
"548","rozrůst","627"
"549","ovládnout","627"
"550","soudit","625"
"551","nalézat","621"
"552","rozcházet","620"
"553","prolínat","616"
"554","sevřít","615"
"555","doslechnout","613"
"556","zapojovat","613"
"557","podrobit","613"
"558","domáhat","612"
"559","povalovat","611"
"560","vyplácet","610"
"561","převléknout","609"
"562","ubytovat","609"
"563","zachránit","607"
"564","namáhat","607"
"565","zamýšlet","606"
"566","použít","604"
"567","svléknout","604"
"568","povídat","602"
"569","potřebovat","599"
"570","plnit","598"
"571","líbat","597"
"572","spekulovat","596"
"573","přizpůsobovat","596"
"574","klást","593"
"575","vlnit","593"
"576","slušet","590"
"577","linout","589"
"578","zakládat","587"
"579","vymanit","587"
"580","stihnout","586"
"581","pokládat","584"
"582","stačit","580"
"583","diskutovat","578"
"584","stočit","578"
"585","opít","577"
"586","potácet","572"
"587","rozléhat","572"
"588","rozprostírat","569"
"589","vloupat","569"
"590","pořádat","568"
"591","zakousnout","567"
"592","vzepřít","567"
"593","zaplést","567"
"594","roztřást","565"
"595","přít","564"
"596","připojovat","564"
"597","zvětšit","562"
"598","uzavírat","557"
"599","zdráhat","556"
"600","přistihnout","555"
"601","posmívat","555"
"602","oddělit","553"
"603","pomstít","552"
"604","zmocňovat","552"
"605","posouvat","550"
"606","sunout","547"
"607","vystřídat","539"
"608","zračit","536"
"609","svalit","536"
"610","vznést","533"
"611","doplňovat","531"
"612","radit","528"
"613","usazovat","528"
"614","předvést","526"
"615","spřátelit","526"
"616","tázat","525"
"617","těžit","522"
"618","nořit","521"
"619","zklidnit","520"
"620","hájit","518"
"621","pojit","517"
"622","vypařit","517"
"623","rozletět","516"
"624","chytnout","515"
"625","donést","515"
"626","dusit","514"
"627","uvelebit","513"
"628","hrabat","510"
"629","vyklubat","510"
"630","vyděsit","509"
"631","plížit","509"
"632","natáčet","506"
"633","vyslovit","506"
"634","rozbít","501"
"635","položit","501"
"636","proplétat","499"
"637","slyšet","497"
"638","číst","495"
"639","uchylovat","495"
"640","lámat","494"
"641","míhat","494"
"642","zaseknout","493"
"643","zazubit","493"
"644","zmítat","492"
"645","vydařit","492"
"646","zavírat","491"
"647","potulovat","489"
"648","tvrdit","486"
"649","utrhnout","485"
"650","odtrhnout","484"
"651","vymlouvat","484"
"652","chránit","484"
"653","strhnout","484"
"654","přiklonit","482"
"655","podít","482"
"656","ohlásit","482"
"657","přiklánět","480"
"658","kochat","480"
"659","šetřit","480"
"660","seznamovat","479"
"661","slavit","477"
"662","rozbušit","476"
"663","setmít","476"
"664","cpát","475"
"665","prodlužovat","474"
"666","rvát","473"
"667","chytat","473"
"668","rozpustit","473"
"669","vdávat","471"
"670","nakazit","471"
"671","dodávat","471"
"672","natahovat","469"
"673","pobavit","468"
"674","plánovat","466"
"675","zdařit","465"
"676","vžít","465"
"677","rozlít","463"
"678","zobrazovat","462"
"679","zabydlet","461"
"680","sjet","460"
"681","vymknout","459"
"682","zatočit","457"
"683","rozjíždět","456"
"684","rozrůstat","456"
"685","zpívat","455"
"686","přistěhovat","455"
"687","věřit","455"
"688","otřásat","454"
"689","probojovat","454"
"690","svíjet","454"
"691","bojovat","452"
"692","sblížit","452"
"693","vinout","451"
"694","rozlévat","450"
"695","brodit","449"
"696","hodnotit","449"
"697","provést","447"
"698","prodrat","447"
"699","překrývat","445"
"700","schoulit","445"
"701","předvádět","445"
"702","převrátit","442"
"703","vysmát","441"
"704","uskutečňovat","441"
"705","zahřát","440"
"706","rozpouštět","438"
"707","rozhořet","436"
"708","pít","434"
"709","ukrýt","433"
"710","podřídit","431"
"711","kousnout","430"
"712","zastat","428"
"713","stmívat","427"
"714","rozeznít","426"
"715","klepat","425"
"716","uložit","424"
"717","vybavovat","423"
