"order","lemma","reflexive_frequency","reflexive_ipm"
289,"odrazit",1380,13.6852399569974
290,"brát",1380,13.6852399569974
291,"snižovat",1372,13.605905232609
292,"dovědět",1371,13.5959883920605
293,"zmiňovat",1368,13.5662378704148
294,"řešit",1365,13.5364873487692
295,"valit",1359,13.4769863054779
296,"spolehnout",1358,13.4670694649293
297,"rozplakat",1351,13.3976515810895
298,"pracovat",1348,13.3679010594438
299,"válet",1348,13.3679010594438
300,"přibližovat",1346,13.3480673783467
301,"probrat",1345,13.3381505377982
302,"uvádět",1343,13.3183168567011
303,"podělit",1333,13.2191484512156
304,"zavřít",1331,13.1993147701185
305,"loučit",1323,13.1199800457301
306,"zatvářit",1322,13.1100632051816
307,"pouštět",1318,13.0703958429874
308,"vyspat",1313,13.0208116402446
309,"hovořit",1304,12.9315600753077
310,"doporučovat",1302,12.9117263942106
311,"tvořit",1298,12.8720590320164
312,"zachvět",1285,12.7431401048853
313,"uplatnit",1283,12.7233064237882
314,"řadit",1283,12.7233064237882
315,"podivit",1275,12.6439716993998
316,"utkat",1263,12.5249696128172
317,"chopit",1257,12.4654685695259
318,"osvědčit",1254,12.4357180478803
319,"stýskat",1238,12.2770485991035
320,"milovat",1234,12.2373812369093
321,"rozkládat",1230,12.1977138747151
322,"zapsat",1229,12.1877970341665
323,"říci",1222,12.1183791503267
324,"dávat",1217,12.0687949475839
325,"hnout",1215,12.0489612664868
326,"přidávat",1211,12.0092939042927
327,"schovávat",1210,11.9993770637441
328,"vsadit",1210,11.9993770637441
329,"dočíst",1208,11.979543382647
330,"potvrdit",1191,11.8109570933217
331,"honit",1190,11.8010402527731
332,"začínat",1188,11.781206571676
333,"dožít",1184,11.7415392094818
334,"inspirovat",1184,11.7415392094818
335,"stýkat",1176,11.6622044850934
336,"pamatovat",1169,11.5927866012536
337,"vytvářet",1159,11.4936181957681
338,"odvrátit",1157,11.473784514671
339,"zřítit",1147,11.3746161091855
340,"vyšplhat",1147,11.3746161091855
341,"najíst",1143,11.3349487469913
342,"zdržovat",1140,11.3051982253457
343,"vyskytnout",1138,11.2853645442486
344,"prodat",1128,11.1861961387631
345,"podepsat",1124,11.1465287765689
346,"koukat",1124,11.1465287765689
347,"hrnout",1119,11.0969445738262
348,"hledat",1112,11.0275266899863
349,"platit",1111,11.0176098494378
350,"střetnout",1111,11.0176098494378
351,"otázat",1108,10.9878593277921
352,"vzdalovat",1108,10.9878593277921
353,"nudit",1108,10.9878593277921
354,"ubránit",1100,10.9085246034037
355,"rýsovat",1099,10.8986077628552
356,"naskytnout",1095,10.858940400661
357,"přestat",1082,10.7300214735299
358,"specializovat",1081,10.7201046329813
359,"rovnat",1069,10.6011025463987
360,"užívat",1063,10.5416015031074
361,"vzdávat",1063,10.5416015031074
362,"zařadit",1063,10.5416015031074
363,"ucházet",1062,10.5316846625589
364,"prát",1060,10.5118509814618
365,"odlišovat",1056,10.4721836192676
366,"nastěhovat",1047,10.3829320543306
367,"sklánět",1044,10.353181532685
368,"jet",1044,10.353181532685
369,"rozšiřovat",1043,10.3432646921364
370,"vybavit",1039,10.3035973299422
371,"promítat",1034,10.2540131271995
372,"naplnit",1033,10.244096286651
373,"rozpadat",1032,10.2341794461024
374,"pousmát",1030,10.2143457650053
375,"tyčit",1030,10.2143457650053
376,"zranit",1029,10.2044289244568
377,"rozvést",1020,10.1151773595198
378,"ukrývat",1018,10.0953436784227
379,"rozzářit",1018,10.0953436784227
380,"svézt",1014,10.0556763162285
381,"zamlouvat",1013,10.04575947568
382,"vdát",1012,10.0358426351314
383,"probouzet",1008,9.99617527293724
384,"dochovat",1001,9.92675738909739
385,"dohadovat",991,9.82758898361191
386,"mísit",989,9.80775530251481
387,"rozdělit",988,9.79783846196626
388,"projít",979,9.70858689702932
389,"provdat",973,9.64908585373803
390,"zlepšovat",964,9.55983428880109
391,"oblékat",964,9.55983428880109
392,"rozplynout",958,9.50033324550979
393,"vzdálit",956,9.4804995644127
394,"podávat",953,9.45074904276705
395,"potit",953,9.45074904276705
396,"léčit",947,9.39124799947576
397,"spoléhat",946,9.38133115892721
398,"spustit",942,9.34166379673301
399,"uchýlit",941,9.33174695618446
400,"rozsvítit",940,9.32183011563591
401,"zjevit",936,9.28216275344172
402,"pyšnit",927,9.19291118850478
403,"angažovat",926,9.18299434795623
404,"omezovat",925,9.17307750740768
405,"leknout",925,9.17307750740768
406,"narovnat",921,9.13341014521349
407,"odhadovat",918,9.10365962356784
408,"vzbudit",914,9.06399226137364
409,"ohlížet",912,9.04415858027655
410,"otřást",911,9.034241739728
411,"odebrat",906,8.98465753698525
412,"vrhat",904,8.96482385588816
413,"koupat",904,8.96482385588816
414,"vázat",903,8.95490701533961
415,"proslavit",900,8.92515649369396
416,"drát",886,8.78632072601428
417,"poučit",884,8.76648704491718
418,"umístit",877,8.69706916107734
419,"žít",877,8.69706916107734
420,"ocitat",875,8.67723547998024
421,"prosazovat",872,8.64748495833459
422,"ovládat",871,8.63756811778604
423,"odhodlat",862,8.5483165528491
424,"plazit",858,8.50864919065491
425,"obléknout",854,8.46898182846071
426,"tlačit",854,8.46898182846071
427,"rozumět",852,8.44914814736362
428,"utopit",852,8.44914814736362
429,"ubírat",851,8.43923130681507
430,"zhoršit",849,8.41939762571797
431,"vyrovnávat",844,8.36981342297523
432,"vyvarovat",839,8.32022922023248
433,"houpat",835,8.28056185803829
434,"udát",835,8.28056185803829
435,"vložit",835,8.28056185803829
436,"uklonit",834,8.27064501748974
437,"uzavřít",833,8.26072817694119
438,"přijít",831,8.24089449584409
439,"ohradit",828,8.21114397419844
440,"tajit",825,8.1813934525528
441,"rozhostit",824,8.17147661200425
442,"chodit",824,8.17147661200425
443,"přenést",823,8.1615597714557
444,"prezentovat",817,8.10205872816441
445,"dožadovat",817,8.10205872816441
446,"shromáždit",816,8.09214188761586
447,"soustřeďovat",815,8.08222504706731
448,"pěstovat",813,8.06239136597021
449,"dozvídat",812,8.05247452542166
450,"svěřovat",812,8.05247452542166
451,"motat",811,8.04255768487311
452,"naklánět",809,8.02272400377602
453,"octnout",809,8.02272400377602
454,"hemžit",807,8.00289032267892
455,"rozplývat",805,7.98305664158182
456,"potkávat",801,7.94338927938762
457,"omezit",798,7.91363875774198
458,"zmoci",797,7.90372191719343
459,"zalíbit",793,7.86405455499923
460,"zhoršovat",790,7.83430403335359
461,"zasloužit",787,7.80455351170794
462,"odvolat",784,7.77480299006229
463,"přesouvat",782,7.7549693089652
464,"zjistit",781,7.74505246841665
465,"vykašlat",780,7.7351356278681
466,"srazit",777,7.70538510622245
467,"vařit",777,7.70538510622245
468,"prodírat",775,7.68555142512535
469,"snášet",774,7.67563458457681
470,"zvětšovat",774,7.67563458457681
471,"zavázat",772,7.65580090347971
472,"proměňovat",772,7.65580090347971
473,"napřímit",772,7.65580090347971
474,"splnit",771,7.64588406293116
475,"probírat",770,7.63596722238261
