order,lemma,frequency
"557","přihlásit","4415"
"558","uspět","4407"
"559","připustit","4401"
"560","otevírat","4385"
"561","vyvinout","4379"
"562","políbit","4378"
"563","směřovat","4365"
"564","dělit","4357"
"565","podobat","4353"
"566","litovat","4352"
"567","natočit","4349"
"568","tvářit","4338"
"569","stavit","4317"
"570","svítit","4315"
"571","vzbudit","4312"
"572","zarazit","4309"
"573","rozvíjet","4301"
"574","prominout","4296"
"575","scházet","4291"
"576","vyslovit","4282"
"577","pokrčit","4270"
"578","uklidnit","4264"
"579","setkávat","4264"
"580","účastnit","4263"
"581","šetřit","4258"
"582","vyhodit","4244"
"583","potvrzovat","4236"
"584","vydělat","4222"
"585","obejmout","4219"
"586","uslyšet","4213"
"587","zapsat","4211"
"588","zvítězit","4203"
"589","odrážet","4192"
"590","vykládat","4188"
"591","skočit","4185"
"592","odvést","4183"
"593","doplňovat","4182"
"594","posunout","4177"
"595","uznat","4166"
"596","definovat","4153"
"597","naznačovat","4148"
"598","srovnat","4138"
"599","lákat","4136"
"600","sbírat","4130"
"601","kráčet","4130"
"602","naklonit","4129"
"603","zakázat","4127"
"604","vyhlásit","4124"
"605","odehrávat","4121"
"606","podotknout","4106"
"607","zařídit","4093"
"608","tlačit","4090"
"609","umírat","4089"
"610","lhát","4075"
"611","domluvit","4046"
"612","přecházet","4045"
"613","šířit","4043"
"614","absolvovat","4041"
"615","navrhovat","4037"
"616","zadívat","4035"
"617","přesunout","4028"
"618","způsobovat","4028"
"619","vyhovovat","4011"
"620","naznačit","3992"
"621","schovat","3988"
"622","zabrat","3961"
"623","popadnout","3953"
"624","objednat","3951"
"625","utíkat","3939"
"626","zopakovat","3906"
"627","vstupovat","3901"
"628","přimět","3890"
"629","navázat","3888"
"630","vyhýbat","3884"
"631","uvěřit","3876"
"632","vyskočit","3874"
"633","doprovázet","3870"
"634","provozovat","3865"
"635","vyjet","3853"
"636","cestovat","3852"
"637","živit","3846"
"638","radit","3831"
"639","dotýkat","3828"
"640","strčit","3825"
"641","zanechat","3825"
"642","hlídat","3822"
"643","zlobit","3822"
"644","nazvat","3801"
"645","ujistit","3795"
"646","doporučit","3749"
"647","kouřit","3730"
"648","nenávidět","3724"
"649","ovládnout","3702"
"650","povolit","3695"
"651","obdržet","3695"
"652","projet","3690"
"653","obsadit","3679"
"654","přispívat","3678"
"655","pouštět","3674"
"656","ukrást","3670"
"657","vyzvat","3660"
"658","stisknout","3659"
"659","zdůraznit","3657"
"660","proniknout","3652"
"661","pocítit","3650"
"662","váhat","3644"
"663","zvyknout","3637"
"664","naslouchat","3634"
"665","usilovat","3631"
"666","inspirovat","3629"
"667","uspořádat","3624"
"668","přidávat","3621"
"669","zapomínat","3615"
"670","mívat","3605"
"671","určovat","3598"
"672","sdílet","3592"
"673","obdivovat","3588"
"674","mínit","3584"
"675","omlouvat","3582"
"676","odpustit","3575"
"677","vystavit","3559"
"678","stydět","3555"
"679","ponechat","3554"
"680","přiznávat","3549"
"681","provázet","3545"
"682","komentovat","3539"
"683","předstírat","3537"
"684","vítat","3529"
"685","respektovat","3508"
"686","opravit","3507"
"687","panovat","3504"
"688","třást","3504"
"689","trefit","3499"
"690","plynout","3494"
"691","sundat","3493"
"692","zveřejnit","3471"
"693","nadechnout","3449"
"694","přenést","3433"
"695","mizet","3428"
"696","rozhlédnout","3422"
"697","všímat","3411"
"698","přestávat","3402"
"699","odhadovat","3400"
"700","navštěvovat","3388"
"701","trénovat","3387"
"702","propadnout","3379"
"703","zdůrazňovat","3369"
"704","odsoudit","3368"
"705","střílet","3360"
"706","obracet","3360"
"707","zapálit","3357"
"708","posloužit","3352"
"709","opírat","3350"
"710","čelit","3343"
"711","mrzet","3340"
"712","dopustit","3338"
"713","přizpůsobit","3336"
"714","téci","3332"
"715","sahat","3326"
"716","sníst","3320"
"717","přejet","3298"
"718","ustoupit","3296"
"719","prezentovat","3294"
"720","hádat","3292"
"721","zamyslet","3283"
"722","posílit","3277"
"723","omezovat","3273"
"724","vsadit","3273"
"725","zpracovat","3257"
"726","běhat","3248"
"727","sevřít","3235"
"728","vyrůstat","3234"
"729","zvládat","3232"
"730","stoupnout","3229"
"731","střídat","3224"
"732","zaznít","3220"
"733","překročit","3219"
"734","ohrozit","3208"
"735","házet","3203"
"736","rozloučit","3202"
"737","zadržet","3201"
"738","probrat","3190"
"739","otáčet","3160"
"740","kývnout","3153"
"741","chutnat","3151"
"742","napadat","3148"
"743","vykazovat","3142"
"744","ucítit","3141"
"745","zlomit","3138"
"746","vylézt","3121"
"747","rozjet","3117"
"748","snést","3116"
"749","léčit","3116"
"750","rušit","3114"
"751","lehnout","3104"
"752","zjišťovat","3098"
"753","pěstovat","3090"
"754","srazit","3085"
"755","poděkovat","3079"
"756","vzrůst","3078"
"757","zamilovat","3078"
"758","zasahovat","3078"
"759","líčit","3078"
"760","budovat","3075"
"761","opouštět","3070"
"762","uplatnit","3065"
"763","předložit","3061"
"764","přitahovat","3059"
"765","modlit","3055"
"766","nalít","3054"
"767","hnát","3044"
"768","ukládat","3041"
"769","vykonávat","3039"
"770","snít","3036"
"771","přitáhnout","3035"
"772","tančit","3029"
"773","pátrat","3027"
"774","nařídit","3024"
"775","přibýt","3021"
"776","přestěhovat","3008"
"777","vypít","3007"
"778","navazovat","3007"
"779","nakupovat","2985"
"780","odhadnout","2981"
"781","hořet","2976"
"782","postihnout","2976"
"783","vypnout","2970"
"784","zvát","2968"
"785","upadnout","2966"
"786","podlehnout","2962"
"787","řadit","2954"
"788","rozesmát","2953"
"789","zranit","2952"
"790","spěchat","2951"
"791","vystřídat","2944"
"792","sklonit","2944"
"793","obvinit","2944"
"794","vázat","2927"
"795","pálit","2923"
"796","kritizovat","2916"
"797","svírat","2911"
"798","dbát","2910"
"799","charakterizovat","2901"
"800","přivítat","2901"
"801","disponovat","2898"
"802","zmiňovat","2892"
"803","ujmout","2892"
"804","dovolovat","2887"
"805","ublížit","2886"
"806","poslechnout","2885"
"807","dojet","2877"
"808","zkontrolovat","2868"
"809","napít","2867"
"810","lézt","2865"
"811","dopřát","2864"
"812","rozšiřovat","2864"
"813","diskutovat","2858"
"814","strhnout","2853"
"815","tisknout","2853"
"816","radovat","2853"
"817","prosazovat","2852"
"818","namítnout","2852"
"819","dodržovat","2850"
"820","spoléhat","2832"
"821","komunikovat","2828"
"822","ověřit","2827"
"823","donutit","2813"
"824","rozběhnout","2812"
"825","pokrýt","2800"
"826","plavat","2791"
"827","uplatňovat","2781"
"828","vynořit","2780"
"829","vypravit","2779"
"830","přitisknout","2778"
"831","odvrátit","2768"
"832","zvolat","2760"
"833","poznávat","2759"
"834","vonět","2755"
"835","zklamat","2752"
"836","vztahovat","2745"
"837","poškodit","2741"
"838","obnovit","2731"
"839","odmlčet","2730"
"840","přenášet","2721"
"841","protáhnout","2719"
"842","předvádět","2718"
"843","půjčit","2718"
"844","postoupit","2709"
"845","omluvit","2708"
"846","propustit","2707"
"847","dostavit","2705"
"848","hýbat","2704"
"849","usoudit","2697"
"850","minout","2687"
"851","upravovat","2686"
"852","zaměřovat","2686"
"853","rodit","2683"
"854","ozývat","2681"
"855","splňovat","2678"
"856","dokazovat","2674"
"857","pršet","2673"
"858","odvážit","2673"
"859","vyslechnout","2664"
"860","udeřit","2659"
"861","přeložit","2653"
"862","mýlit","2646"
"863","vyznačovat","2644"
"864","vyřídit","2640"
"865","plést","2639"
"866","vydechnout","2634"
"867","oddělit","2632"
"868","zamumlat","2626"
"869","zářit","2625"
"870","vynést","2623"
"871","zajet","2621"
"872","vysílat","2620"
"873","prohodit","2615"
"874","uzavírat","2613"
"875","povzdechnout","2604"
"876","létat","2592"
"877","putovat","2589"
"878","čerpat","2588"
"879","vyplnit","2583"
"880","shodnout","2581"
"881","riskovat","2580"
