"","lemma","transitive_rank","transitive_frequency","transitive_ipm","reflexive_rank","reflexive_frequency","reflexive_ipm","total_rank","total_frequency","total_ipm","refexivity"
"73","baštit",5187,31,0.307422057005014,10990,1,0.00991684054854884,6502,83,0.823097765529554,0.0120481927710843
"74","bát",1442,347,3.44114367034645,15,17591,174.447142089523,96,19260,190.998348965051,0.913343717549325
"75","batolit",10434,3,0.0297505216456465,2334,58,0.575176751815833,7252,61,0.60492727346148,0.950819672131147
"76","bavit",469,1360,13.4869031460264,63,6927,68.6939544797979,157,14077,139.599364401922,0.49207927825531
"77","bavívat",11316,2,0.0198336810970977,4308,13,0.128918927131135,10041,19,0.188419970422428,0.684210526315789
"78","bazírovat",13349,1,0.00991684054854884,10372,1,0.00991684054854884,8909,30,0.297505216456465,0.0333333333333333
"79","bdít",5039,33,0.327255738102112,6938,3,0.0297505216456465,2527,579,5.74185067760978,0.00518134715025907
"80","bědovat",14568,1,0.00991684054854884,7346,3,0.0297505216456465,4656,188,1.86436602312718,0.0159574468085106
"81","běhat",1692,272,2.69738062920529,1658,115,1.14043666308312,726,3248,32.2098981016866,0.0354064039408867
"82","bejvat",4253,49,0.485925186878893,5316,7,0.0694178838398419,3403,346,3.4312268297979,0.0202312138728324
"83","bělat",8504,7,0.0694178838398419,2471,51,0.505758867975991,7165,63,0.624760954558577,0.80952380952381
"84","bělet",10119,4,0.0396673621941954,6576,4,0.0396673621941954,10195,18,0.178503129873879,0.222222222222222
"85","belhat",8433,7,0.0694178838398419,1382,160,1.58669448776782,4923,168,1.66602921215621,0.952380952380952
"86","besedovat",9107,6,0.0595010432912931,5855,5,0.0495842027427442,6981,68,0.674345157301321,0.0735294117647059
"87","betonovat",7005,14,0.138835767679684,4187,14,0.138835767679684,6924,70,0.694178838398419,0.2
"88","běžet",786,763,7.56654933854277,879,322,3.19322265663273,235,10402,103.154975386005,0.0309555854643338
"89","bičovat",2106,191,1.89411654477283,3158,29,0.287588375907917,3320,361,3.57997943802613,0.0803324099722992
"90","biflovat",6512,17,0.16858628932533,4485,11,0.109085246034037,8855,31,0.307422057005014,0.354838709677419
"91","bilancovat",3797,62,0.614844114010028,4850,9,0.0892515649369396,4645,189,1.87428286367573,0.0476190476190476
"92","bílit",6875,14,0.138835767679684,8083,2,0.0198336810970977,9158,27,0.267754694810819,0.0740740740740741
"93","bimbat",7099,13,0.128918927131135,4226,13,0.128918927131135,8847,31,0.307422057005014,0.419354838709677
"94","biřmovat",11813,2,0.0198336810970977,11309,1,0.00991684054854884,10911,13,0.128918927131135,0.0769230769230769
"95","bít",1423,353,3.50064471363774,723,416,4.12540566819632,960,2331,23.1161553186674,0.178464178464178
"96","bivakovat",7965,9,0.0892515649369396,11271,1,0.00991684054854884,8972,29,0.287588375907917,0.0344827586206897
"97","blábolit",5153,32,0.317338897553563,11289,1,0.00991684054854884,5069,158,1.56686080667072,0.00632911392405063
"98","blafovat",14518,1,0.00991684054854884,7828,2,0.0198336810970977,7505,55,0.545426230170186,0.0363636363636364
"99","blahopřát",10151,4,0.0396673621941954,10047,1,0.00991684054854884,3127,404,4.00640358161373,0.00247524752475248
"100","blanšírovat",7196,12,0.119002086582586,9469,1,0.00991684054854884,10344,16,0.158669448776782,0.0625
"101","bláznit",8460,7,0.0694178838398419,9747,1,0.00991684054854884,3200,383,3.79814993009421,0.00261096605744125
"102","blbnout",5624,25,0.247921013713721,6361,4,0.0396673621941954,2768,496,4.91875291208023,0.00806451612903226
"103","blednout",5117,32,0.317338897553563,8306,2,0.0198336810970977,3115,406,4.02623726271083,0.00492610837438424
"104","blejskat",10138,4,0.0396673621941954,4158,14,0.138835767679684,10279,17,0.16858628932533,0.823529411764706
"105","blejt",8854,6,0.0595010432912931,6426,4,0.0396673621941954,8936,30,0.297505216456465,0.133333333333333
"106","blekotat",7452,11,0.109085246034037,8975,1,0.00991684054854884,5892,110,1.09085246034037,0.00909090909090909
"107","blesknout",7650,10,0.0991684054854885,7384,3,0.0297505216456465,2627,543,5.38484441786202,0.00552486187845304
"108","blikat",3482,74,0.733846200592615,6621,4,0.0396673621941954,2813,484,4.79975082549764,0.00826446280991736
"109","blinkat",12099,2,0.0198336810970977,8432,2,0.0198336810970977,9750,21,0.208253651519526,0.0952380952380952
"110","blít",8684,7,0.0694178838398419,4747,10,0.0991684054854885,6830,73,0.723929360044066,0.136986301369863
"111","blížit",955,588,5.83110224254672,65,6697,66.4130811536316,362,6804,67.4741830923263,0.984273956496179
"112","bloknout",8648,7,0.0694178838398419,8924,1,0.00991684054854884,7753,50,0.495842027427442,0.02
"113","blokovat",890,649,6.4360295160082,3847,17,0.16858628932533,1827,959,9.51025008605834,0.0177267987486966
"114","bloudit",3263,85,0.842931446626652,10225,1,0.00991684054854884,1898,905,8.9747406964367,0.00110497237569061
"115","bloumat",4688,40,0.396673621941954,8906,1,0.00991684054854884,3455,336,3.33205842431241,0.00297619047619048
"116","blufovat",9216,5,0.0495842027427442,9477,1,0.00991684054854884,6881,71,0.704095678946968,0.0140845070422535
"117","blýskat",3985,56,0.555343070718735,821,355,3.52047839473484,2823,482,4.77991714440054,0.736514522821577
"118","blýsknout",5176,32,0.317338897553563,797,366,3.62956364076888,2551,569,5.64268227212429,0.64323374340949
"119","blyskotat",13514,1,0.00991684054854884,11088,1,0.00991684054854884,14252,4,0.0396673621941954,0.25
"120","blyštět",7464,11,0.109085246034037,1716,106,1.05118509814618,5818,113,1.12060298198602,0.938053097345133
"121","blyštit",8968,6,0.0595010432912931,2244,63,0.624760954558577,7094,65,0.644594635655675,0.969230769230769
"122","blýštit",15245,1,0.00991684054854884,9714,1,0.00991684054854884,19348,1,0.00991684054854884,1
"123","bobtnat",8201,8,0.0793347243883908,7977,2,0.0198336810970977,5390,137,1.35860715515119,0.0145985401459854
"124","bodat",3585,70,0.694178838398419,5936,5,0.0495842027427442,3223,379,3.75848256790001,0.0131926121372032
"125","bodnout",2483,145,1.43794187953958,2920,35,0.34708941919921,2282,685,6.79303577575596,0.0510948905109489
"126","bodovat",2684,124,1.22968822802006,3273,26,0.25783785426227,1740,1035,10.2639299677481,0.0251207729468599
"127","bohatnout",9613,5,0.0495842027427442,11321,1,0.00991684054854884,5662,122,1.20985454692296,0.00819672131147541
"128","bohovat",12200,2,0.0198336810970977,9951,1,0.00991684054854884,10510,15,0.148752608228233,0.0666666666666667
"129","bojkotovat",2937,105,1.04126825759763,10335,1,0.00991684054854884,5087,156,1.54702712557362,0.00641025641025641
"130","bojovat",986,564,5.59309806938155,691,452,4.48241192794408,232,10543,104.55324990335,0.0428720478042303
"131","bolet",609,1022,10.1350110406169,2724,41,0.406590462490503,423,5969,59.1936212342881,0.00686882224828279
"132","bolívat",9407,5,0.0495842027427442,10898,1,0.00991684054854884,10464,16,0.158669448776782,0.0625
"133","bombardovat",2104,192,1.90403338532138,6253,4,0.0396673621941954,3251,375,3.71881520570582,0.0106666666666667
"134","bonznout",14469,1,0.00991684054854884,9898,1,0.00991684054854884,11701,10,0.0991684054854885,0.1
"135","bonzovat",11568,2,0.0198336810970977,10269,1,0.00991684054854884,11656,10,0.0991684054854885,0.1
"136","bortit",4817,37,0.366923100296307,1506,138,1.36852399569974,4785,178,1.76519761764169,0.775280898876405
"137","bořit",2217,178,1.76519761764169,1179,210,2.08253651519526,2797,488,4.83941818769184,0.430327868852459
"138","bouchat",4686,40,0.396673621941954,4761,10,0.0991684054854885,3459,335,3.32214158376386,0.0298507462686567
"139","bouchnout",2230,177,1.75528077709315,2430,53,0.525592549073089,2059,802,7.95330611993617,0.0660847880299252
"140","boulit",10469,3,0.0297505216456465,4922,9,0.0892515649369396,11373,11,0.109085246034037,0.818181818181818
"141","bourat",2232,177,1.75528077709315,1926,84,0.833014606078103,2668,529,5.24600865018234,0.158790170132325
"142","bouřit",4716,39,0.386756781393405,741,405,4.01632042216228,2700,516,5.1170897230512,0.784883720930233
"143","boxovat",7141,13,0.128918927131135,4053,15,0.148752608228233,4974,165,1.63627869051056,0.0909090909090909
"144","bránit",358,1759,17.4437225248974,88,4675,46.3612295644659,217,11022,109.303416526105,0.424151696606786
