order,lemma,frequency
"895","přimhouřit","648"
"896","zastřelit","648"
"897","slíbit","648"
"898","vybavovat","645"
"899","naklonit","644"
"900","vymazat","641"
"901","uklidnit","637"
"902","naložit","637"
"903","zamknout","637"
"904","rozepnout","636"
"905","hradit","636"
"906","schovávat","634"
"907","zjišťovat","628"
"908","vtisknout","627"
"909","přecházet","627"
"910","porodit","626"
"911","napodobovat","626"
"912","zvrátit","624"
"913","zanechávat","622"
"914","svést","621"
"915","porušovat","618"
"916","razit","617"
"917","narazit","617"
"918","sklízet","616"
"919","vnést","616"
"920","soustředit","614"
"921","srovnávat","614"
"922","donutit","614"
"923","obohatit","613"
"924","vykázat","612"
"925","prorazit","611"
"926","zachraňovat","608"
"927","osvojit","607"
"928","motivovat","607"
"929","zablokovat","607"
"930","rozhodovat","607"
"931","urychlit","607"
"932","popírat","606"
"933","balit","606"
"934","zatáhnout","605"
"935","smést","605"
"936","mlčet","604"
"937","zdát","604"
"938","očistit","603"
"939","ozdobit","602"
"940","řadit","600"
"941","schvalovat","598"
"942","navýšit","598"
"943","převyšovat","597"
"944","krást","596"
"945","zasunout","595"
"946","vyřadit","594"
"947","uvolňovat","592"
"948","živit","591"
"949","proniknout","591"
"950","mýt","590"
"951","zabalit","590"
"952","rozpustit","590"
"953","splácet","588"
"954","zabránit","588"
"955","blížit","588"
"956","zarazit","587"
"957","zmiňovat","587"
"958","odhrnout","587"
"959","zabořit","586"
"960","domluvit","586"
"961","shromáždit","585"
"962","ilustrovat","584"
"963","vyvést","584"
"964","zpochybňovat","582"
"965","hnát","580"
"966","seznámit","578"
"967","bydlet","577"
"968","prohledat","576"
"969","oblíbit","575"
"970","upevnit","575"
"971","zpomalit","575"
"972","zatěžovat","574"
"973","prolomit","574"
"974","uklidit","574"
"975","probouzet","572"
"976","krmit","571"
"977","svádět","570"
"978","vydělávat","570"
"979","pochválit","569"
"980","pronikat","568"
"981","potlačovat","567"
"982","padat","566"
"983","přibližovat","566"
"984","obklopovat","566"
"985","propagovat","564"
"986","bojovat","564"
"987","doprovodit","564"
"988","osvětlovat","562"
"989","odebírat","561"
"990","pomáhat","561"
"991","odnášet","560"
"992","zprostředkovat","559"
"993","zesílit","559"
"994","zamítnout","559"
"995","vytočit","557"
"996","zkomplikovat","556"
"997","minimalizovat","556"
"998","vídat","556"
"999","vztáhnout","556"
"1000","posbírat","556"
"1001","objasnit","556"
"1002","sklidit","553"
"1003","postihovat","553"
"1004","vyzývat","553"
"1005","dohnat","552"
"1006","přednést","552"
"1007","přivádět","552"
"1008","střežit","551"
"1009","utírat","550"
"1010","nabýt","550"
"1011","propustit","550"
"1012","svolat","549"
"1013","potkávat","549"
"1014","prodlužovat","548"
"1015","upustit","548"
"1016","zvětšit","547"
"1017","napodobit","547"
"1018","povytáhnout","546"
"1019","dokazovat","545"
"1020","vyzařovat","545"
"1021","promluvit","544"
"1022","zapamatovat","544"
"1023","zahodit","543"
"1024","posloužit","543"
"1025","odeslat","541"
"1026","porovnávat","541"
"1027","cvičit","539"
"1028","zkřížit","539"
"1029","demonstrovat","539"
"1030","zabouchnout","539"
"1031","nahrát","536"
"1032","podnikat","536"
"1033","vycítit","536"
"1034","vypočítat","535"
"1035","likvidovat","535"
"1036","přehrávat","534"
"1037","sejmout","533"
"1038","oblékat","533"
"1039","aktivovat","531"
"1040","vypálit","530"
"1041","vymezit","529"
"1042","odsoudit","529"
"1043","péci","528"
"1044","vymezovat","527"
"1045","prokazovat","527"
"1046","zaručit","526"
"1047","přijet","526"
"1048","chytnout","525"
"1049","symbolizovat","524"
"1050","nahmatat","524"
"1051","odradit","524"
"1052","ukrývat","524"
"1053","podceňovat","523"
"1054","vylovit","523"
"1055","nadzvednout","523"
"1056","dopít","522"
"1057","odstrčit","521"
"1058","mnout","520"
"1059","přemoci","519"
"1060","oslovovat","519"
"1061","odkrýt","518"
"1062","zaskočit","518"
"1063","pohybovat","517"
"1064","zbýt","517"
"1065","přeskočit","517"
"1066","zahajovat","516"
"1067","přetáhnout","515"
"1068","zapisovat","514"
"1069","zazpívat","512"
"1070","stanovovat","512"
"1071","hlásat","511"
"1072","přenechat","511"
"1073","nasazovat","510"
"1074","sdělovat","510"
"1075","zbožňovat","510"
"1076","tajit","509"
"1077","oslavovat","508"
"1078","projíždět","508"
"1079","vylíčit","508"
"1080","střílet","507"
"1081","půjčovat","507"
"1082","zhlédnout","507"
"1083","nacpat","505"
"1084","odemknout","504"
"1085","poškozovat","504"
"1086","ctít","503"
"1087","zemřít","503"
"1088","vychovat","501"
"1089","tvrdit","501"
"1090","prohledávat","500"
"1091","pohánět","499"
"1092","svítit","499"
"1093","utratit","499"
"1094","zavraždit","497"
"1095","vyslovovat","497"
"1096","zhoršovat","497"
